,x,y,z,layer,region,type
0,3340.6433701921464,-1121.440833014761,-3239.3602640928675,L6,S1FL,ObjectiveCSD_Disk
1,3346.6671201921463,-1122.950583014761,-3231.5220140928677,L6,S1FL,ObjectiveCSD_Disk
2,3352.6908701921466,-1124.460333014761,-3223.683764092868,L6,S1FL,ObjectiveCSD_Disk
3,3358.7146201921464,-1125.970083014761,-3215.845514092868,L6,S1FL,ObjectiveCSD_Disk
4,3364.7383701921462,-1127.479833014761,-3208.007264092868,L6,S1FL,ObjectiveCSD_Disk
5,3370.7621201921465,-1128.989583014761,-3200.1692640928677,L6,S1FL,ObjectiveCSD_Disk
6,3376.7858701921464,-1130.4993330147609,-3192.331264092868,L6,S1FL,ObjectiveCSD_Disk
7,3382.809620192146,-1132.009083014761,-3184.493264092868,L6,S1FL,ObjectiveCSD_Disk
8,3388.8333701921465,-1133.518833014761,-3176.6552640928676,L6,S1FL,ObjectiveCSD_Disk
9,3394.857120192147,-1135.028583014761,-3168.817264092868,L6,S1FL,ObjectiveCSD_Disk
10,3400.8808701921466,-1136.538333014761,-3160.9792640928677,L6,S1FL,ObjectiveCSD_Disk
11,3406.9046201921465,-1138.048083014761,-3153.1412640928675,L6,S1FL,ObjectiveCSD_Disk
12,3412.9283701921468,-1139.557833014761,-3145.3032640928677,L6,S1FL,ObjectiveCSD_Disk
13,3418.9518701921465,-1141.0675830147609,-3137.465014092868,L6,S1FL,ObjectiveCSD_Disk
14,3424.9753701921463,-1142.5773330147608,-3129.6267640928677,L6,S1FL,ObjectiveCSD_Disk
15,3430.9988701921466,-1144.087083014761,-3121.7885140928674,L6,S1FL,ObjectiveCSD_Disk
16,3437.0223701921464,-1145.596833014761,-3113.9502640928677,L6,S1FL,ObjectiveCSD_Disk
17,3443.046120192146,-1147.1065830147609,-3106.112264092868,L6,S1FL,ObjectiveCSD_Disk
18,3449.0698701921465,-1148.616333014761,-3098.2742640928677,L6,S1FL,ObjectiveCSD_Disk
19,3455.093620192147,-1150.126083014761,-3090.4362640928675,L6,S1FL,ObjectiveCSD_Disk
20,3461.1173701921466,-1151.635833014761,-3082.598264092868,L6,S1FL,ObjectiveCSD_Disk
21,3467.1411201921464,-1153.1455830147609,-3074.760014092868,L6,S1FL,ObjectiveCSD_Disk
22,3473.1648701921467,-1154.6553330147608,-3066.9217640928678,L6,S1FL,ObjectiveCSD_Disk
23,3479.1886201921466,-1156.165083014761,-3059.0835140928675,L6,S1FL,ObjectiveCSD_Disk
24,3485.2123701921464,-1157.674833014761,-3051.2452640928677,L6,S1FL,ObjectiveCSD_Disk
25,3491.2361201921467,-1159.1845830147608,-3043.407264092868,L6,S1FL,ObjectiveCSD_Disk
26,3497.2598701921465,-1160.694333014761,-3035.569264092868,L6,S1FL,ObjectiveCSD_Disk
27,3503.2836201921464,-1162.204083014761,-3027.7312640928676,L6,S1FL,ObjectiveCSD_Disk
28,3509.3073701921467,-1163.713833014761,-3019.893264092868,L6,S1FL,ObjectiveCSD_Disk
29,3515.330870192147,-1165.2235830147608,-3012.055264092868,L6,S1FL,ObjectiveCSD_Disk
30,3521.3543701921467,-1166.7333330147608,-3004.217264092868,L6,S1FL,ObjectiveCSD_Disk
31,3527.3778701921465,-1168.243083014761,-2996.3792640928677,L6,S1FL,ObjectiveCSD_Disk
32,3533.4013701921467,-1169.7528330147609,-2988.541264092868,L6,S1FL,ObjectiveCSD_Disk
33,3539.4251201921466,-1171.2625830147608,-2980.703014092868,L6,S1FL,ObjectiveCSD_Disk
34,3545.4488701921464,-1172.772333014761,-2972.864764092868,L6,S1FL,ObjectiveCSD_Disk
35,3551.4726201921467,-1174.282083014761,-2965.0265140928677,L6,S1FL,ObjectiveCSD_Disk
36,3557.4963701921465,-1175.7918330147609,-2957.188264092868,L6,S1FL,ObjectiveCSD_Disk
37,3563.5201201921464,-1177.3015830147608,-2949.3502640928677,L6,S1FL,ObjectiveCSD_Disk
38,3569.5438701921466,-1178.8113330147607,-2941.5122640928676,L6,S1FL,ObjectiveCSD_Disk
39,3575.5676201921465,-1180.321083014761,-2933.674264092868,L6,S1FL,ObjectiveCSD_Disk
