,x,y,z,layer,region,type
0,3340.6433701921464,-1121.440833014761,-3239.3602640928675,L6,S1FL,LineSource
1,3341.396338942146,-1121.629551764761,-3238.3804828428674,L6,S1FL,LineSource
2,3342.149307692146,-1121.818270514761,-3237.4007015928673,L6,S1FL,LineSource
3,3342.902276442146,-1122.006989264761,-3236.4209203428672,L6,S1FL,LineSource
4,3343.655245192146,-1122.1957080147608,-3235.4411390928676,L6,S1FL,LineSource
5,3344.408213942146,-1122.384426764761,-3234.461357842868,L6,S1FL,LineSource
6,3345.161182692146,-1122.5731455147609,-3233.481576592868,L6,S1FL,LineSource
7,3345.9141514421462,-1122.7618642647608,-3232.501795342868,L6,S1FL,LineSource
8,3346.6671201921463,-1122.950583014761,-3231.5220140928677,L6,S1FL,LineSource
9,3347.4200889421463,-1123.139301764761,-3230.5422328428676,L6,S1FL,LineSource
10,3348.1730576921464,-1123.328020514761,-3229.5624515928675,L6,S1FL,LineSource
11,3348.9260264421464,-1123.5167392647609,-3228.5826703428675,L6,S1FL,LineSource
12,3349.6789951921464,-1123.705458014761,-3227.602889092868,L6,S1FL,LineSource
13,3350.4319639421465,-1123.8941767647611,-3226.623107842868,L6,S1FL,LineSource
14,3351.1849326921465,-1124.082895514761,-3225.643326592868,L6,S1FL,LineSource
15,3351.9379014421465,-1124.271614264761,-3224.663545342868,L6,S1FL,LineSource
16,3352.6908701921466,-1124.460333014761,-3223.683764092868,L6,S1FL,LineSource
17,3353.4438389421466,-1124.6490517647612,-3222.703982842868,L6,S1FL,LineSource
18,3354.1968076921466,-1124.8377705147611,-3221.7242015928678,L6,S1FL,LineSource
19,3354.9497764421467,-1125.026489264761,-3220.7444203428677,L6,S1FL,LineSource
20,3355.7027451921467,-1125.2152080147612,-3219.764639092868,L6,S1FL,LineSource
21,3356.4557139421468,-1125.403926764761,-3218.7848578428684,L6,S1FL,LineSource
22,3357.208682692147,-1125.592645514761,-3217.8050765928683,L6,S1FL,LineSource
23,3357.961651442147,-1125.7813642647611,-3216.8252953428682,L6,S1FL,LineSource
24,3358.7146201921464,-1125.970083014761,-3215.845514092868,L6,S1FL,LineSource
25,3359.467588942146,-1126.158801764761,-3214.865732842868,L6,S1FL,LineSource
26,3360.220557692146,-1126.347520514761,-3213.885951592868,L6,S1FL,LineSource
27,3360.973526442146,-1126.536239264761,-3212.906170342868,L6,S1FL,LineSource
28,3361.726495192146,-1126.724958014761,-3211.926389092868,L6,S1FL,LineSource
29,3362.479463942146,-1126.913676764761,-3210.9466078428677,L6,S1FL,LineSource
30,3363.232432692146,-1127.102395514761,-3209.9668265928676,L6,S1FL,LineSource
31,3363.985401442146,-1127.2911142647608,-3208.9870453428675,L6,S1FL,LineSource
32,3364.7383701921462,-1127.479833014761,-3208.007264092868,L6,S1FL,LineSource
33,3365.4913389421463,-1127.668551764761,-3207.027514092868,L6,S1FL,LineSource
34,3366.2443076921463,-1127.857270514761,-3206.0477640928675,L6,S1FL,LineSource
35,3366.9972764421464,-1128.045989264761,-3205.0680140928675,L6,S1FL,LineSource
36,3367.7502451921464,-1128.234708014761,-3204.0882640928676,L6,S1FL,LineSource
37,3368.5032139421464,-1128.423426764761,-3203.1085140928676,L6,S1FL,LineSource
38,3369.2561826921465,-1128.6121455147609,-3202.1287640928676,L6,S1FL,LineSource
39,3370.0091514421465,-1128.800864264761,-3201.1490140928677,L6,S1FL,LineSource
40,3370.7621201921465,-1128.989583014761,-3200.1692640928677,L6,S1FL,LineSource
41,3371.5150889421466,-1129.1783017647608,-3199.1895140928677,L6,S1FL,LineSource
42,3372.2680576921466,-1129.367020514761,-3198.2097640928678,L6,S1FL,LineSource
43,3373.0210264421466,-1129.5557392647609,-3197.230014092868,L6,S1FL,LineSource
44,3373.7739951921467,-1129.7444580147608,-3196.250264092868,L6,S1FL,LineSource
45,3374.5269639421467,-1129.933176764761,-3195.270514092868,L6,S1FL,LineSource
46,3375.2799326921468,-1130.1218955147608,-3194.290764092868,L6,S1FL,LineSource
47,3376.032901442147,-1130.3106142647607,-3193.311014092868,L6,S1FL,LineSource
48,3376.7858701921464,-1130.4993330147609,-3192.331264092868,L6,S1FL,LineSource
49,3377.538838942146,-1130.688051764761,-3191.351514092868,L6,S1FL,LineSource
50,3378.291807692146,-1130.876770514761,-3190.371764092868,L6,S1FL,LineSource
51,3379.044776442146,-1131.0654892647608,-3189.392014092868,L6,S1FL,LineSource
