,x,y,z,layer,region,type
0,3340.6433701921464,-1121.440833014761,-3239.3602640928675,L6,S1FL,LineSource
1,3343.655245192146,-1122.1957080147608,-3235.4411390928676,L6,S1FL,LineSource
2,3346.6671201921463,-1122.950583014761,-3231.5220140928677,L6,S1FL,LineSource
3,3349.6789951921464,-1123.705458014761,-3227.602889092868,L6,S1FL,LineSource
4,3352.6908701921466,-1124.460333014761,-3223.683764092868,L6,S1FL,LineSource
5,3355.7027451921467,-1125.2152080147612,-3219.764639092868,L6,S1FL,LineSource
6,3358.7146201921464,-1125.970083014761,-3215.845514092868,L6,S1FL,LineSource
7,3361.726495192146,-1126.724958014761,-3211.926389092868,L6,S1FL,LineSource
8,3364.7383701921462,-1127.479833014761,-3208.007264092868,L6,S1FL,LineSource
9,3367.7502451921464,-1128.234708014761,-3204.0882640928676,L6,S1FL,LineSource
10,3370.7621201921465,-1128.989583014761,-3200.1692640928677,L6,S1FL,LineSource
11,3373.7739951921467,-1129.7444580147608,-3196.250264092868,L6,S1FL,LineSource
12,3376.7858701921464,-1130.4993330147609,-3192.331264092868,L6,S1FL,LineSource
13,3379.797745192146,-1131.254208014761,-3188.412264092868,L6,S1FL,LineSource
14,3382.809620192146,-1132.009083014761,-3184.493264092868,L6,S1FL,LineSource
15,3385.8214951921464,-1132.763958014761,-3180.5742640928675,L6,S1FL,LineSource
16,3388.8333701921465,-1133.518833014761,-3176.6552640928676,L6,S1FL,LineSource
17,3391.8452451921466,-1134.2737080147608,-3172.7362640928677,L6,S1FL,LineSource
18,3394.857120192147,-1135.028583014761,-3168.817264092868,L6,S1FL,LineSource
19,3397.868995192147,-1135.783458014761,-3164.898264092868,L6,S1FL,LineSource
20,3400.8808701921466,-1136.538333014761,-3160.9792640928677,L6,S1FL,LineSource
21,3403.8927451921463,-1137.2932080147611,-3157.0602640928673,L6,S1FL,LineSource
22,3406.9046201921465,-1138.048083014761,-3153.1412640928675,L6,S1FL,LineSource
23,3409.9164951921466,-1138.8029580147609,-3149.2222640928676,L6,S1FL,LineSource
24,3412.9283701921468,-1139.557833014761,-3145.3032640928677,L6,S1FL,LineSource
25,3415.9401201921464,-1140.312708014761,-3141.384139092868,L6,S1FL,LineSource
26,3418.9518701921465,-1141.0675830147609,-3137.465014092868,L6,S1FL,LineSource
27,3421.9636201921467,-1141.8224580147607,-3133.5458890928676,L6,S1FL,LineSource
28,3424.9753701921463,-1142.5773330147608,-3129.6267640928677,L6,S1FL,LineSource
29,3427.9871201921464,-1143.332208014761,-3125.707639092868,L6,S1FL,LineSource
30,3430.9988701921466,-1144.087083014761,-3121.7885140928674,L6,S1FL,LineSource
31,3434.0106201921462,-1144.841958014761,-3117.8693890928676,L6,S1FL,LineSource
32,3437.0223701921464,-1145.596833014761,-3113.9502640928677,L6,S1FL,LineSource
33,3440.034245192146,-1146.3517080147608,-3110.031264092868,L6,S1FL,LineSource
34,3443.046120192146,-1147.1065830147609,-3106.112264092868,L6,S1FL,LineSource
35,3446.0579951921463,-1147.861458014761,-3102.193264092868,L6,S1FL,LineSource
36,3449.0698701921465,-1148.616333014761,-3098.2742640928677,L6,S1FL,LineSource
37,3452.0817451921466,-1149.3712080147611,-3094.3552640928674,L6,S1FL,LineSource
38,3455.093620192147,-1150.126083014761,-3090.4362640928675,L6,S1FL,LineSource
39,3458.105495192147,-1150.8809580147608,-3086.5172640928677,L6,S1FL,LineSource
40,3461.1173701921466,-1151.635833014761,-3082.598264092868,L6,S1FL,LineSource
41,3464.1292451921463,-1152.390708014761,-3078.679139092868,L6,S1FL,LineSource
42,3467.1411201921464,-1153.1455830147609,-3074.760014092868,L6,S1FL,LineSource
43,3470.1529951921466,-1153.9004580147607,-3070.8408890928677,L6,S1FL,LineSource
44,3473.1648701921467,-1154.6553330147608,-3066.9217640928678,L6,S1FL,LineSource
45,3476.176745192147,-1155.4102080147609,-3063.002639092868,L6,S1FL,LineSource
46,3479.1886201921466,-1156.165083014761,-3059.0835140928675,L6,S1FL,LineSource
47,3482.2004951921463,-1156.919958014761,-3055.1643890928676,L6,S1FL,LineSource
48,3485.2123701921464,-1157.674833014761,-3051.2452640928677,L6,S1FL,LineSource
49,3488.2242451921466,-1158.4297080147608,-3047.326264092868,L6,S1FL,LineSource
50,3491.2361201921467,-1159.1845830147608,-3043.407264092868,L6,S1FL,LineSource
51,3494.247995192147,-1159.939458014761,-3039.488264092868,L6,S1FL,LineSource
52,3497.2598701921465,-1160.694333014761,-3035.569264092868,L6,S1FL,LineSource
53,3500.271745192146,-1161.449208014761,-3031.6502640928675,L6,S1FL,LineSource
54,3503.2836201921464,-1162.204083014761,-3027.7312640928676,L6,S1FL,LineSource
