,x,y,z,layer,region,type
0,3477.96438564792,-1337.3018584837969,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
1,3480.395514779299,-1327.6018785278093,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
2,3482.826643910678,-1317.9018985718217,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
3,3485.2577730420567,-1308.201918615834,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
4,3487.688902173435,-1298.5019386598465,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
5,3490.120031304814,-1288.8019587038589,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
6,3492.5511604361927,-1279.1019787478713,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
7,3494.9822895675716,-1269.4019987918837,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
8,3497.4134186989504,-1259.702018835896,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
9,3499.8445478303292,-1250.0020388799085,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
10,3502.275676961708,-1240.3020589239209,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
11,3504.706806093087,-1230.6020789679333,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
12,3507.1379352244658,-1220.9020990119457,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
13,3509.5690643558446,-1211.202119055958,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
14,3512.000193487223,-1201.5021390999705,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
15,3514.431322618602,-1191.8021591439829,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
16,3516.8624517499807,-1182.1021791879953,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
17,3519.2935808813595,-1172.4021992320077,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
18,3521.7247100127383,-1162.70221927602,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
19,3524.155839144117,-1153.0022393200325,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
20,3526.586968275496,-1143.3022593640449,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
21,3529.0180974068744,-1133.602279408057,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
22,3531.4492265382532,-1123.9022994520694,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
23,3533.880355669632,-1114.2023194960818,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
24,3536.311484801011,-1104.5023395400942,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
25,3538.7426139323898,-1094.8023595841066,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
26,3541.1737430637686,-1085.102379628119,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
27,3543.6048721951474,-1075.4023996721314,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
28,3546.0360013265263,-1065.7024197161438,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
29,3548.467130457905,-1056.0024397601562,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
30,3550.8982595892835,-1046.3024598041686,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
31,3553.3293887206623,-1036.602479848181,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
32,3555.760517852041,-1026.9024998921934,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
33,3558.19164698342,-1017.2025199362058,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
34,3560.622776114799,-1007.5025399802182,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
35,3563.0539052461777,-997.8025600242306,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
36,3565.4850343775565,-988.102580068243,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
37,3567.916163508935,-978.4026001122554,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
38,3570.3472926403138,-968.7026201562678,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
39,3572.7784217716926,-959.0026402002801,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
40,3846.9157730197703,-1429.7730254317908,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
41,3849.346902151149,-1420.0730454758032,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
42,3851.778031282528,-1410.3730655198156,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
43,3854.209160413907,-1400.673085563828,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
