,x,y,z,layer,region,type
0,3514.431322618602,-1191.8021591439829,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
1,3514.9175484448774,-1189.8621631527853,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
2,3515.4037742711535,-1187.9221671615878,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
3,3515.890000097429,-1185.9821711703903,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
4,3516.3762259237046,-1184.0421751791928,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
5,3516.8624517499807,-1182.1021791879953,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
6,3517.3486775762563,-1180.1621831967977,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
7,3517.8349034025323,-1178.2221872056002,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
8,3518.321129228808,-1176.2821912144027,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
9,3518.8073550550835,-1174.3421952232052,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
10,3519.2935808813595,-1172.4021992320077,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
11,3519.779806707635,-1170.4622032408101,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
12,3520.2660325339107,-1168.5222072496126,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
13,3520.7522583601867,-1166.582211258415,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
14,3521.2384841864623,-1164.6422152672176,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
15,3521.724710012738,-1162.70221927602,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
16,3522.210935839014,-1160.7622232848225,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
17,3522.6971616652895,-1158.822227293625,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
18,3523.1833874915656,-1156.8822313024275,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
19,3523.669613317841,-1154.94223531123,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
20,3524.1558391441167,-1153.0022393200325,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
21,3524.6420649703928,-1151.062243328835,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
22,3525.1282907966684,-1149.1222473376374,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
23,3525.6145166229444,-1147.18225134644,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
24,3526.10074244922,-1145.2422553552424,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
25,3526.5869682754956,-1143.3022593640449,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
26,3527.0731941017716,-1141.3622633728473,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
27,3527.559419928047,-1139.4222673816498,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
28,3528.045645754323,-1137.4822713904523,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
29,3528.531871580599,-1135.5422753992548,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
30,3529.0180974068744,-1133.6022794080573,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
31,3529.50432323315,-1131.6622834168597,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
32,3529.990549059426,-1129.7222874256622,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
33,3530.4767748857016,-1127.7822914344647,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
34,3530.9630007119777,-1125.8422954432672,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
35,3531.4492265382532,-1123.9022994520697,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
36,3531.935452364529,-1121.962303460872,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
37,3532.421678190805,-1120.0223074696744,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
38,3532.9079040170805,-1118.082311478477,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
39,3533.3941298433565,-1116.1423154872793,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
40,3533.880355669632,-1114.2023194960818,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
41,3534.3665814959077,-1112.2623235048843,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
42,3534.8528073221837,-1110.3223275136868,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
43,3535.3390331484593,-1108.3823315224893,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
44,3535.825258974735,-1106.4423355312917,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
45,3536.311484801011,-1104.5023395400942,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
46,3536.7977106272865,-1102.5623435488967,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
47,3537.283936453562,-1100.6223475576992,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
48,3537.770162279838,-1098.6823515665017,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
49,3538.2563881061137,-1096.7423555753041,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Sphere
50,3883.382709990452,-1284.2733260919765,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
51,3883.868935816728,-1282.333330100779,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
52,3884.3551616430036,-1280.3933341095815,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
53,3884.8413874692797,-1278.453338118384,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
54,3885.3276132955552,-1276.5133421271864,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
55,3885.813839121831,-1274.573346135989,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
56,3886.300064948107,-1272.6333501447914,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
57,3886.7862907743825,-1270.6933541535939,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
58,3887.272516600658,-1268.7533581623964,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
59,3887.758742426934,-1266.8133621711988,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
60,3888.2449682532097,-1264.8733661800013,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
61,3888.7311940794857,-1262.9333701888038,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
62,3889.2174199057613,-1260.9933741976063,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
63,3889.703645732037,-1259.0533782064088,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
64,3890.189871558313,-1257.1133822152112,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
65,3890.6760973845885,-1255.1733862240137,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
66,3891.162323210864,-1253.2333902328162,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
67,3891.64854903714,-1251.2933942416187,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
68,3892.1347748634157,-1249.3533982504212,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
69,3892.6210006896918,-1247.4134022592236,-2524.917338420665,L5,S1FL,ObjectiveCSD_Sphere
